_id,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,shoots,weight
batismi01,12.2,6.4,3.4,0.8,44.1,Right,225lb
battito01,12.6,6.1,5.1,36.4,49,Right,230lb
battish01,12.6,8.6,4.2,75.7,52.9,Right,220lb
battljo01,13.7,8.7,1.3,17.9,47.1,Right,175lb
battlke01,12.5,4.7,2.4,3.7,50.8,Left,210lb
battoda01,10.2,3.2,2.1,0.7,44.8,Right,240lb
battsll01,11.3,10.3,3.4,0.5,39.7,Right,185lb
batumni01,14.9,11.8,5.3,54.1,51.9,Right,200lb
baumjo01,13.8,6.1,2.7,5.7,48,Right,200lb
baumhfr01,0,14,0,3.8,0,Left,170lb
baxtelo01,11.6,3.9,2.9,2.9,46.7,Right,260lb
bayleje01,12.2,8.4,2.1,18.6,47.1,Right,200lb
bayloel01,22.7,27.4,13.5,104.2,0,Right,225lb
bayneho01,8.2,4.9,6.6,0.8,36.1,Right,235lb
baynear01,14,5.4,4.4,17,50.5,Right,260lb
bazarse01,13.6,3,0.7,0.2,52.3,Right,168lb
bazemke01,12.2,8.7,3.1,11,48.9,Left,201lb
beached01,0,1.8,2.1,0.3,0,Right,200lb
bealbr01,17.1,19.8,3.9,36.4,51.9,Right,207lb
beardal01,6.3,2.5,3.8,0.3,52.2,Right,200lb
beardbu01,15,9.3,3.4,32.8,0,Right,185lb
beardra01,0,15.9,3.8,11.2,0,Right,175lb
beaslch01,11.9,9.4,2.5,15.4,46.3,Right,190lb
beaslje01,5.9,1,0.5,0,33.3,Right,237lb
beasljo01,19.6,13.7,8.4,37.9,49.9,Right,225lb
beaslma01,13,7.2,1.7,5,56.2,Right,195lb
beaslmi01,15.6,12.4,4.7,15.6,48.7,Left,235lb
beatyze01,18.7,17.1,10.9,106,49.4,Right,225lb
beaubro01,14.5,7.1,1.9,4.8,49.6,Right,170lb
beckby01,16.3,11.5,7,55,50.5,Right,225lb
beckco01,9.1,2.7,1.4,0.5,45.9,Right,190lb
becker01,11.2,6.3,3.2,9,0,Right,190lb
beckear01,16.3,12.5,6.3,28.1,48.1,Right,205lb
beckemo01,0,3.8,0,2.4,0,Right,185lb
bedelbo01,15.9,8.4,5.2,5.6,42.6,Right,205lb
bedfowi01,9.7,4.1,2.4,0.9,41.9,Right,225lb
beendha01,0,8.4,0,2,0,Right,185lb
behagro01,14.2,10.3,7,13,42.5,Right,185lb
behnkel01,7.8,4,4.3,0.1,0,Right,210lb
belinma01,12.3,10,2.1,29.6,51.2,Right,210lb
bellch01,11.2,8.5,2.2,12.5,48.8,Right,200lb
bellde01,10.7,2.8,1.9,0.1,0,Right,185lb
belljo01,15.5,3.9,3.1,4.5,57,Right,224lb
bellra01,10.9,9.9,2.8,32.7,51.4,Right,204lb
belltr01,4.5,1.8,0.7,0.2,22.2,Right,180lb
bellwh01,9.8,5.1,2.6,0,0,Right,180lb
bellawa01,19.8,20.1,13.7,130,0,Right,225lb
bembrde01,10,6.3,3.3,0.8,48.2,Right,210lb
bemorir01,10.4,6.3,2.6,1.3,0,Right,185lb
benbole01,10.9,5.5,1.9,1.7,0,Right,185lb
bendedr01,7.4,5.3,3.8,0.2,49.4,Right,225lb
bendejo01,10.9,5.5,2.2,3.8,45.8,Right,202lb
benimje01,4.7,0,1.5,0,0,Right,245lb
benjabe01,14.8,11.4,7.5,32.7,49.7,Right,250lb
benjaco01,8.9,5.5,1.7,0.9,42.5,Right,200lb
bennean01,10.2,4.4,3.1,0.5,42,Right,245lb
benneel01,6.2,2.3,0.5,0.3,37.2,Right,170lb
bennema01,18.2,4,2.7,1.9,53.6,Right,235lb
benneme01,10.8,6.9,4.7,0.9,38.2,Right,200lb
bennesp01,6.8,7.5,2.5,0.5,39,Right,190lb
benneto01,9.5,3.5,1,1.6,46.4,Right,175lb
bennewi01,8.4,4.8,3,1.7,42.5,Right,210lb
benoida01,12,7,4,16.9,47.2,Right,220lb
bensoke02,6,0,1,0,0,Right,240lb
bensoke01,14.2,9.1,5.7,33.6,49.4,Right,235lb
bentibe01,17.6,0,0.7,0.1,0,Right,235lb
bercege01,0,3.3,0,0.1,0,Right,175lb
bergega01,4.7,1.3,1.3,0,0,Right,210lb
berghla01,15.3,6.1,4.3,0.1,40.8,Right,210lb
berryri01,13.1,11,3.1,2.4,50.7,Right,205lb
berrywa01,16.6,14.1,4.7,8.2,54,Left,215lb
bertada02,2,2.8,0.8,0.2,36.2,Right,200lb
bertada01,13.3,6.2,2.3,9.3,59.1,Right,225lb
beshode01,6.4,3.5,0.9,0.9,37.2,Right,165lb
besttr01,13.8,7.6,1.8,30.9,46,Left,182lb
beverpa01,12.5,9,4.3,24.8,51.7,Right,185lb
bhullsi01,44.3,0.7,0.3,0,50,Right,360lb
bialowe01,12.9,8.7,1.3,1.5,44.3,Right,185lb
biancal01,9.6,8.1,2.5,8.2,0,Right,185lb
biasaha01,0,1,0,0.1,0,Left,175lb
bibbyhe01,12.3,8.6,2.3,24.5,42.8,Right,185lb
bibbymi01,16.1,14.7,3.1,73.2,49.7,Right,190lb
biedeed01,2.7,0.6,0.3,0.1,0,Right,175lb
biedran01,15.3,6.3,7,30.7,59.4,Left,240lb
bielkdo01,12.2,2,1.3,0.2,0,Right,240lb
bigelbo01,8.7,2.5,1.2,0.5,0,Right,215lb
billili01,10.5,8.5,6.1,0.4,42.7,Right,215lb
billuch01,18.8,15.2,2.9,120.8,49.5,Right,202lb
bingda01,17.6,20.3,3.8,68.8,0,Right,180lb
biniojo01,12,1.3,1.6,0.1,40,Right,235lb
birchkh01,17.9,4.5,4,4.6,57.4,Right,233lb
birdja01,12.1,3,1.5,0.2,63.5,Right,198lb
birdje01,12.9,2.3,1.1,0,0,Right,210lb
birdla01,23.5,24.3,10,145.8,51.4,Right,220lb
birdsot01,16.5,18,3,48.2,50.9,Right,190lb
bishoga01,0,8.3,0,2.8,0,Right,195lb
biyombi01,12.8,4.9,6.3,22.9,51.7,Right,255lb
bjeline01,12.9,7.1,4.4,10.7,55.1,Right,234lb
blabuw01,6.6,2.1,1.8,0.4,43.3,Right,252lb
blackch01,1.1,9.2,2.4,4.3,0,Right,200lb
blackno01,1.9,2.7,0.7,0.1,30,Right,185lb
blackta01,14.4,4.9,4.7,7.7,55.1,Right,250lb
blackto01,9.6,4.2,3.6,0.1,0,Right,220lb
blackro01,16.7,18,3.3,75.6,50.1,Right,190lb
blackal01,8.2,1.3,0.9,0,33.3,Right,250lb
blackco01,6.4,3.4,1.6,0.9,36.7,Right,210lb
blackja01,11.6,1.4,0.8,0.2,61.5,Right,190lb
blackna01,6.1,3.7,0.6,0.1,39,Left,170lb
blairde01,16.5,6.8,5.1,19,52.4,Right,270lb
blakest01,11.1,6.5,2.1,29.1,50.1,Right,172lb
blakean01,10.5,7.5,1.8,0.6,45.4,Right,192lb
blalowi01,4.5,1.8,1.1,0.1,31.7,Right,205lb
blanege01,7.8,3.3,1,0.1,0,Right,175lb
blankla01,8.8,2,0.8,0.7,47.2,Right,190lb
blantri01,19.3,3,1.5,0,42.9,Right,215lb
blatcan01,16.8,10.1,5.4,19.2,47.2,Right,235lb
blaylmo01,16.8,13.5,4.1,71.8,46.5,Right,180lb
bledser01,18.1,14.1,3.9,37,50.3,Right,205lb
blevile01,0,1,1,0,0,Right,160lb
blockjo01,15.4,11.9,6.6,32.7,0,Right,207lb
bloommi01,0,6.8,0,2.5,0,Right,190lb
blossja01,10.2,4.2,3.6,0.3,49.1,Right,220lb
blounco01,11.1,3.6,4.2,18.2,47.1,Right,240lb
blounma01,12.5,8.2,4.6,18.8,50.8,Right,230lb
blueva01,1.7,3,1.3,0.4,33.3,Right,200lb
blumera01,9.7,4.6,0.8,0.1,46.8,Right,185lb
bobbne01,12.2,4.6,2.4,6,0,Right,170lb
bobbito01,11.7,2.5,1.5,0,50,Right,190lb
bockhbu01,10.4,11.5,4.7,7.9,0,Right,200lb
